#,Name,Type,Attack,Defense,HP,Catch,Flee,Fast Moves,Charge Moves
0609,Chandelure,Ghost Fire,271,182,155,5%,5%,"Fire Spin, Hex, Incinerate","Energy Ball, Flame Charge, Overheat, Shadow Ball, Poltergeist (Community Day), Frustration (Shadow), Return (Purified)"
0610,Axew,Dragon,154,101,130,40%,9%,"Iron Tail, Scratch","Aqua Tail, Dragon Claw, Dragon Pulse"
0611,Fraxure,Dragon,212,123,165,10%,7%,"Dragon Tail, Iron Tail","Aqua Tail, Dragon Claw, Night Slash"
0612,Haxorus,Dragon,284,172,183,5%,5%,"Counter, Dragon Tail","Dragon Claw, Earthquake, Night Slash, Surf, Breaking Swipe (Community Day)"
0613,Cubchoo,Ice,128,74,146,30%,10%,"Charm, Powder Snow","Ice Punch, Icy Wind, Play Rough"
0614,Beartic,Ice,233,152,216,15%,5%,"Charm, Powder Snow","Ice Punch, Liquidation, Play Rough, Surf"
0615,Cryogonal,Ice,190,218,190,20%,7%,"Frost Breath, Ice Shard","Aurora Beam, Night Slash, Solar Beam, Water Pulse"
0616,Shelmet,Bug,72,140,137,30%,10%,"Acid, Infestation","Body Slam, Bug Buzz, Signal Beam"
0617,Accelgor,Bug,220,120,190,15%,5%,"Acid, Infestation, Water Shuriken","Acid Spray, Bug Buzz, Focus Blast, Signal Beam"
0618,Stunfisk,Ground Electric,144,171,240,20%,7%,"Mud Shot, Thunder Shock","Discharge, Mud Bomb, Muddy Water, Frustration (Shadow), Return (Purified)"
0618,Stunfisk Galarian Stunfisk,Ground Steel,144,171,240,20%,7%,"Metal Claw, Mud Shot","Earthquake, Flash Cannon, Muddy Water, Rock Slide, Frustration (Shadow), Return (Purified)"
0619,Mienfoo,Fighting,160,98,128,30%,10%,"Low Kick, Pound","Brick Break, Focus Blast, Low Sweep"
0620,Mienshao,Fighting,258,127,163,15%,5%,"Low Kick, Poison Jab","Blaze Kick, Brick Break, Grass Knot, Stone Edge"
0621,Druddigon,Dragon,213,170,184,20%,7%,"Bite, Dragon Tail","Dragon Claw, Hyper Beam, Night Slash"
0622,Golett,Ground Ghost,127,92,153,30%,10%,"Astonish, Mud-Slap","Brick Break, Night Shade, Shadow Punch, Frustration (Shadow), Return (Purified)"
0623,Golurk,Ground Ghost,222,154,205,15%,5%,"Astonish, Mud-Slap","Dynamic Punch, Earth Power, Poltergeist, Shadow Punch, Frustration (Shadow), Return (Purified)"
0624,Pawniard,Dark Steel,154,114,128,30%,9%,"Fury Cutter, Scratch","Iron Head, Night Slash, X-Scissor"
0625,Bisharp,Dark Steel,232,176,163,15%,5%,"Metal Claw, Snarl","Dark Pulse, Focus Blast, Iron Head, X-Scissor"
0626,Bouffalant,Normal,195,182,216,20%,7%,"Mud Shot, Zen Headbutt","Earthquake, Megahorn, Skull Bash, Stomp"
0627,Rufflet,Normal Flying,150,97,172,30%,10%,"Peck, Wing Attack","Aerial Ace, Brave Bird, Rock Tomb"
0628,Braviary,Normal Flying,232,152,225,15%,5%,"Air Slash, Steel Wing","Brave Bird, Close Combat, Heat Wave, Rock Slide"
0628,Braviary Hisuian Braviary,Psychic Flying,213,137,242,15%,5%,"Air Slash, Zen Headbutt","Brave Bird, Dazzling Gleam, Ominous Wind, Psychic"
0629,Vullaby,Dark Flying,105,139,172,30%,10%,"Air Slash, Feint Attack","Brave Bird, Dark Pulse, Foul Play"
0630,Mandibuzz,Dark Flying,129,205,242,15%,5%,"Air Slash, Snarl","Aerial Ace, Dark Pulse, Foul Play, Shadow Ball"
0631,Heatmor,Fire,204,129,198,20%,7%,"Fire Spin, Lick","Flamethrower, Power-Up Punch, Thunder Punch"
0632,Durant,Bug Steel,217,188,151,20%,7%,"Bug Bite, Metal Claw","Iron Head, Stone Edge, X-Scissor"
0633,Deino,Dark Dragon,116,93,141,40%,9%,"Dragon Breath, Tackle","Body Slam, Crunch, Dragon Pulse"
0634,Zweilous,Dark Dragon,159,135,176,10%,7%,"Bite, Dragon Breath","Body Slam, Dark Pulse, Dragon Pulse"
0635,Hydreigon,Dark Dragon,256,188,211,5%,5%,"Bite, Dragon Breath","Dark Pulse, Dragon Pulse, Flash Cannon, Brutal Swing (Community Day)"
0636,Larvesta,Bug Fire,156,107,146,70%,15%,"Bug Bite, Ember","Bug Buzz, Flame Charge, Flame Wheel"
0637,Volcarona,Bug Fire,264,189,198,10%,7%,"Bug Bite, Fire Spin","Bug Buzz, Hurricane, Overheat, Solar Beam"
0638,Cobalion,Steel Fighting,192,229,209,2%,1%,"Double Kick, Metal Claw, Zen Headbutt","Close Combat, Iron Head, Stone Edge, Sacred Sword (legacy)"
0639,Terrakion,Rock Fighting,260,192,209,2%,1%,"Double Kick, Smack Down, Zen Headbutt","Close Combat, Earthquake, Rock Slide, Sacred Sword (legacy)"
0640,Virizion,Grass Fighting,192,229,209,2%,1%,"Double Kick, Quick Attack, Zen Headbutt","Close Combat, Leaf Blade, Stone Edge, Sacred Sword (legacy)"
0641,Tornadus Incarnate Forme,Flying,266,164,188,2%,1%,"Air Slash, Bite","Dark Pulse, Grass Knot, Hurricane, Hyper Beam"
0641,Tornadus Therian Forme,Flying,238,189,188,2%,1%,"Astonish, Gust","Focus Blast, Heat Wave, Hurricane, Psychic"
0642,Thundurus Incarnate Forme,Electric Flying,266,164,188,2%,1%,"Astonish, Thunder Shock","Brick Break, Crunch, Thunder, Thunder Punch"
0642,Thundurus Therian Forme,Electric Flying,295,161,188,2%,1%,"Bite, Volt Switch","Focus Blast, Sludge Wave, Thunder, Thunderbolt"
0643,Reshiram,Dragon Fire,275,211,205,2%,1%,"Dragon Breath, Fire Fang","Crunch, Draco Meteor, Overheat, Stone Edge, Fusion Flare (legacy)"
0644,Zekrom,Dragon Electric,275,211,205,2%,1%,"Charge Beam, Dragon Breath","Crunch, Flash Cannon, Outrage, Wild Charge, Fusion Bolt (legacy)"
0645,Landorus Incarnate Forme,Ground Flying,261,182,205,2%,1%,"Mud Shot, Rock Throw","Earth Power, Focus Blast, Outrage, Rock Slide"
0645,Landorus Therian Forme,Ground Flying,289,179,205,2%,1%,"Extrasensory, Mud Shot","Bulldoze, Earthquake, Stone Edge, Superpower"
0646,Kyurem,Dragon Ice,246,170,245,2%,1%,"Dragon Breath, Steel Wing","Blizzard, Draco Meteor, Dragon Claw, Glaciate (legacy)"
0647,Keldeo Ordinary Form,Water Fighting,260,192,209,2%,1%,"Low Kick, Poison Jab","Aqua Jet, Close Combat, Hydro Pump, Sacred Sword, X-Scissor"
0648,Meloetta Aria Forme,Normal Psychic,250,225,225,100%,0%,"Confusion, Quick Attack","Dazzling Gleam, Hyper Beam, Psyshock, Thunderbolt"
0649,Genesect,Bug Steel,252,199,174,2%,1%,"Fury Cutter, Metal Claw","Hyper Beam, Magnet Bomb, X-Scissor"
0649,Genesect Burn Drive,Bug Steel,252,199,174,2%,1%,"Fury Cutter, Metal Claw","Flamethrower, Magnet Bomb, X-Scissor, Techno Blast - Fire (legacy)"
0649,Genesect Chill Drive,Bug Steel,252,199,174,2%,1%,"Fury Cutter, Metal Claw","Ice Beam, Magnet Bomb, X-Scissor, Techno Blast - Ice (legacy)"
0649,Genesect Douse Drive,Bug Steel,252,199,174,2%,1%,"Fury Cutter, Metal Claw","Gunk Shot, Magnet Bomb, X-Scissor, Techno Blast - Water (legacy)"
0649,Genesect Shock Drive,Bug Steel,252,199,174,2%,1%,"Fury Cutter, Metal Claw","Magnet Bomb, X-Scissor, Zap Cannon, Techno Blast - Electric (legacy)"
0650,Chespin,Grass,110,106,148,20%,10%,"Take Down, Vine Whip","Body Slam, Gyro Ball, Seed Bomb"
0651,Quilladin,Grass,146,156,156,10%,10%,"Low Kick, Vine Whip","Body Slam, Energy Ball, Gyro Ball"
0652,Chesnaught,Grass Fighting,201,204,204,5%,10%,"Low Kick, Smack Down, Vine Whip","Energy Ball, Gyro Ball, Solar Beam, Superpower, Frenzy Plant (Community Day)"
0653,Fennekin,Fire,116,102,120,20%,10%,"Ember, Scratch","Flame Charge, Flamethrower, Psyshock"
0654,Braixen,Fire,171,130,153,10%,10%,"Ember, Scratch","Flame Charge, Flamethrower, Psyshock"
0655,Delphox,Fire Psychic,230,189,181,5%,10%,"Fire Spin, Scratch, Zen Headbutt","Fire Blast, Flame Charge, Flamethrower, Mystical Fire, Psychic, Blast Burn (Community Day)"
0656,Froakie,Water,122,84,121,20%,10%,"Bubble, Pound","Aerial Ace, Surf, Water Pulse"
0657,Frogadier,Water,168,114,144,10%,10%,"Bubble, Pound","Aerial Ace, Surf, Water Pulse"
0658,Greninja,Water Dark,223,152,176,5%,10%,"Bubble, Feint Attack, Water Shuriken","Aerial Ace, Hydro Pump, Night Slash, Surf, Hydro Cannon (Community Day)"
0659,Bunnelby,Normal,68,72,116,50%,10%,"Mud-Slap, Quick Attack","Bulldoze, Dig, Earthquake"
0660,Diggersby,Normal Ground,112,155,198,20%,10%,"Mud Shot, Quick Attack","Dig, Earthquake, Fire Punch, Hyper Beam, Scorching Sands"
0661,Fletchling,Normal Flying,95,80,128,50%,20%,"Peck, Quick Attack","Aerial Ace, Heat Wave, Swift"
0662,Fletchinder,Fire Flying,145,110,158,25%,9%,"Ember, Peck, Steel Wing","Aerial Ace, Flame Charge, Heat Wave"
0663,Talonflame,Fire Flying,176,155,186,12.5%,5%,"Fire Spin, Peck, Steel Wing, Incinerate (Community Day)","Brave Bird, Fire Blast, Flame Charge, Hurricane"
0664,Scatterbug,Bug,63,63,116,50%,20%,"Bug Bite, Tackle",Struggle
0665,Spewpa,Bug,48,89,128,25%,9%,Struggle Bug,Struggle
0666,Vivillon Meadow Pattern,Bug Flying,176,103,190,12.5%,6%,"Gust, Struggle Bug","Aerial Ace, Bug Buzz, Energy Ball, Hurricane"
0666,Vivillon Archipelago Pattern,Bug Flying,176,103,190,12.5%,6%,"Gust, Struggle Bug","Aerial Ace, Bug Buzz, Energy Ball, Hurricane"
0666,Vivillon Continental Pattern,Bug Flying,176,103,190,12.5%,6%,"Gust, Struggle Bug","Aerial Ace, Bug Buzz, Energy Ball, Hurricane"
0666,Vivillon Elegant Pattern,Bug Flying,176,103,190,12.5%,6%,"Gust, Struggle Bug","Aerial Ace, Bug Buzz, Energy Ball, Hurricane"
0666,Vivillon Garden Pattern,Bug Flying,176,103,190,12.5%,6%,"Gust, Struggle Bug","Aerial Ace, Bug Buzz, Energy Ball, Hurricane"
0666,Vivillon High Plains Pattern,Bug Flying,176,103,190,12.5%,6%,"Gust, Struggle Bug","Aerial Ace, Bug Buzz, Energy Ball, Hurricane"
0666,Vivillon Icy Snow Pattern,Bug Flying,176,103,190,12.5%,6%,"Gust, Struggle Bug","Aerial Ace, Bug Buzz, Energy Ball, Hurricane"
0666,Vivillon Jungle Pattern,Bug Flying,176,103,190,12.5%,6%,"Gust, Struggle Bug","Aerial Ace, Bug Buzz, Energy Ball, Hurricane"
0666,Vivillon Marine Pattern,Bug Flying,176,103,190,12.5%,6%,"Gust, Struggle Bug","Aerial Ace, Bug Buzz, Energy Ball, Hurricane"
0666,Vivillon Modern Pattern,Bug Flying,176,103,190,12.5%,6%,"Gust, Struggle Bug","Aerial Ace, Bug Buzz, Energy Ball, Hurricane"
0666,Vivillon Monsoon Pattern,Bug Flying,176,103,190,12.5%,6%,"Gust, Struggle Bug","Aerial Ace, Bug Buzz, Energy Ball, Hurricane"
0666,Vivillon Ocean Pattern,Bug Flying,176,103,190,12.5%,6%,"Gust, Struggle Bug","Aerial Ace, Bug Buzz, Energy Ball, Hurricane"
0666,Vivillon Polar Pattern,Bug Flying,176,103,190,12.5%,6%,"Gust, Struggle Bug","Aerial Ace, Bug Buzz, Energy Ball, Hurricane"
0666,Vivillon River Pattern,Bug Flying,176,103,190,12.5%,6%,"Gust, Struggle Bug","Aerial Ace, Bug Buzz, Energy Ball, Hurricane"
0666,Vivillon Sandstorm Pattern,Bug Flying,176,103,190,12.5%,6%,"Gust, Struggle Bug","Aerial Ace, Bug Buzz, Energy Ball, Hurricane"
0666,Vivillon Savanna Pattern,Bug Flying,176,103,190,12.5%,6%,"Gust, Struggle Bug","Aerial Ace, Bug Buzz, Energy Ball, Hurricane"
0666,Vivillon Sun Pattern,Bug Flying,176,103,190,12.5%,6%,"Gust, Struggle Bug","Aerial Ace, Bug Buzz, Energy Ball, Hurricane"
0666,Vivillon Tundra Pattern,Bug Flying,176,103,190,12.5%,6%,"Gust, Struggle Bug","Aerial Ace, Bug Buzz, Energy Ball, Hurricane"
0666,Vivillon Poké Ball Pattern,Bug Flying,176,103,190,12.5%,6%,"Gust, Struggle Bug","Aerial Ace, Bug Buzz, Energy Ball, Hurricane"
0666,Vivillon Fancy Pattern,Bug Flying,176,103,190,12.5%,6%,"Gust, Struggle Bug","Aerial Ace, Bug Buzz, Energy Ball, Hurricane"
0667,Litleo,Fire Normal,139,112,158,50%,20%,"Ember, Fire Fang, Incinerate, Tackle","Crunch, Flame Charge, Flamethrower"
0668,Pyroar Male,Fire Normal,221,149,200,20%,7%,"Ember, Fire Fang, Incinerate, Take Down","Dark Pulse, Flame Charge, Overheat, Solar Beam"
0668,Pyroar Female,Fire Normal,221,149,200,20%,7%,"Ember, Fire Fang, Incinerate, Take Down","Dark Pulse, Flame Charge, Overheat, Solar Beam"
0669,Flabébé Red Flower,Fairy,108,120,127,50%,15%,"Tackle, Vine Whip","Dazzling Gleam, Petal Blizzard, Psychic"
0669,Flabébé Blue Flower,Fairy,108,120,127,50%,15%,"Tackle, Vine Whip","Dazzling Gleam, Petal Blizzard, Psychic"
0669,Flabébé Orange Flower,Fairy,108,120,127,50%,15%,"Tackle, Vine Whip","Dazzling Gleam, Petal Blizzard, Psychic"
0669,Flabébé White Flower,Fairy,108,120,127,50%,15%,"Tackle, Vine Whip","Dazzling Gleam, Petal Blizzard, Psychic"
0669,Flabébé Yellow Flower,Fairy,108,120,127,50%,15%,"Tackle, Vine Whip","Dazzling Gleam, Petal Blizzard, Psychic"
0670,Floette Red Flower,Fairy,136,151,144,25%,7%,"Tackle, Vine Whip","Dazzling Gleam, Petal Blizzard, Psychic"
0670,Floette Blue Flower,Fairy,136,151,144,25%,7%,"Tackle, Vine Whip","Dazzling Gleam, Petal Blizzard, Psychic"
0670,Floette Orange Flower,Fairy,136,151,144,25%,7%,"Tackle, Vine Whip","Dazzling Gleam, Petal Blizzard, Psychic"
0670,Floette White Flower,Fairy,136,151,144,25%,7%,"Tackle, Vine Whip","Dazzling Gleam, Petal Blizzard, Psychic"
0670,Floette Yellow Flower,Fairy,136,151,144,25%,7%,"Tackle, Vine Whip","Dazzling Gleam, Petal Blizzard, Psychic"
0671,Florges Red Flower,Fairy,212,244,186,12.5%,5%,"Fairy Wind, Razor Leaf, Tackle, Vine Whip","Disarming Voice, Moonblast, Petal Blizzard, Psychic"
0671,Florges Blue Flower,Fairy,212,244,186,12.5%,5%,"Fairy Wind, Razor Leaf, Tackle, Vine Whip","Disarming Voice, Moonblast, Petal Blizzard, Psychic"
0671,Florges Orange Flower,Fairy,212,244,186,12.5%,5%,"Fairy Wind, Razor Leaf, Tackle, Vine Whip","Disarming Voice, Moonblast, Petal Blizzard, Psychic"
0671,Florges White Flower,Fairy,212,244,186,12.5%,5%,"Fairy Wind, Razor Leaf, Tackle, Vine Whip","Disarming Voice, Moonblast, Petal Blizzard, Psychic"
0671,Florges Yellow Flower,Fairy,212,244,186,12.5%,5%,"Fairy Wind, Razor Leaf, Tackle, Vine Whip","Disarming Voice, Moonblast, Petal Blizzard, Psychic"
0672,Skiddo,Grass,123,102,165,20%,10%,"Rock Smash, Zen Headbutt","Brick Break, Seed Bomb"
0673,Gogoat,Grass,196,146,265,20%,10%,"Rock Smash, Vine Whip, Zen Headbutt","Brick Break, Leaf Blade, Seed Bomb"
0674,Pancham,Fighting,145,107,167,30%,9%,"Low Kick, Tackle","Body Slam, Crunch, Low Sweep"
0675,Pangoro,Fighting Dark,226,146,216,10%,7%,"Bullet Punch, Low Kick, Snarl","Close Combat, Iron Head, Night Slash, Rock Slide"
0676,Furfrou Natural Trim,Normal,164,167,181,20%,7%,"Bite, Sucker Punch, Take Down","Dark Pulse, Grass Knot, Surf"
0676,Furfrou Heart Trim,Normal,164,167,181,20%,7%,"Bite, Sucker Punch, Take Down","Dark Pulse, Grass Knot, Surf"
0676,Furfrou Star Trim,Normal,164,167,181,20%,7%,"Bite, Sucker Punch, Take Down","Dark Pulse, Grass Knot, Surf"
0676,Furfrou Diamond Trim,Normal,164,167,181,20%,7%,"Bite, Sucker Punch, Take Down","Dark Pulse, Grass Knot, Surf"
0676,Furfrou Debutante Trim,Normal,164,167,181,20%,7%,"Bite, Sucker Punch, Take Down","Dark Pulse, Grass Knot, Surf"
0676,Furfrou Matron Trim,Normal,164,167,181,20%,7%,"Bite, Sucker Punch, Take Down","Dark Pulse, Grass Knot, Surf"
0676,Furfrou Dandy Trim,Normal,164,167,181,20%,7%,"Bite, Sucker Punch, Take Down","Dark Pulse, Grass Knot, Surf"
0676,Furfrou La Reine Trim,Normal,164,167,181,20%,7%,"Bite, Sucker Punch, Take Down","Dark Pulse, Grass Knot, Surf"
0676,Furfrou Kabuki Trim,Normal,164,167,181,20%,7%,"Bite, Sucker Punch, Take Down","Dark Pulse, Grass Knot, Surf"
0676,Furfrou Pharaoh Trim,Normal,164,167,181,20%,7%,"Bite, Sucker Punch, Take Down","Dark Pulse, Grass Knot, Surf"
0677,Espurr,Psychic,120,114,158,40%,10%,"Confusion, Scratch","Energy Ball, Psychic, Psyshock"
0678,Meowstic Male,Psychic,166,167,179,20%,7%,"Confusion, Sucker Punch","Energy Ball, Psychic, Thunderbolt"
0678,Meowstic Female,Psychic,166,167,179,20%,7%,"Charm, Confusion, Magical Leaf","Energy Ball, Psychic, Shadow Ball"
0682,Spritzee,Fairy,110,113,186,20%,10%,"Charge Beam, Charm","Draining Kiss, Thunderbolt"
0683,Aromatisse,Fairy,173,150,226,20%,10%,"Charge Beam, Charm","Draining Kiss, Moonblast, Psychic, Thunderbolt"
0684,Swirlix,Fairy,109,119,158,20%,10%,Tackle,"Draining Kiss, Energy Ball"
0685,Slurpuff,Fairy,168,163,193,20%,10%,"Charm, Fairy Wind, Tackle","Draining Kiss, Energy Ball, Flamethrower, Play Rough"
0686,Inkay,Dark Psychic,98,95,142,20%,10%,"Peck, Tackle","Night Slash, Psybeam"
0687,Malamar,Dark Psychic,177,165,200,20%,10%,"Peck, Psycho Cut","Foul Play, Hyper Beam, Psybeam, Superpower"
0688,Binacle,Rock Water,96,120,123,20%,10%,"Mud-Slap, Scratch","Ancient Power, Cross Chop, Dig"
0689,Barbaracle,Rock Water,194,205,176,20%,10%,"Fury Cutter, Mud-Slap, Water Gun","Cross Chop, Grass Knot, Razor Shell, Skull Bash, Stone Edge"
0690,Skrelp,Poison Water,109,109,137,20%,10%,"Acid, Water Gun","Aqua Tail, Sludge Bomb, Twister, Water Pulse"
0691,Dragalge,Poison Dragon,177,207,163,20%,10%,"Acid, Dragon Tail, Water Gun","Aqua Tail, Gunk Shot, Hydro Pump, Outrage"
0692,Clauncher,Water,108,117,137,20%,10%,"Smack Down, Water Gun","Aqua Jet, Crabhammer, Water Pulse"
0693,Clawitzer,Water,221,171,174,20%,10%,"Smack Down, Water Gun","Crabhammer, Dark Pulse, Ice Beam, Water Pulse"
0694,Helioptile,Electric Normal,115,78,127,20%,10%,"Quick Attack, Thunder Shock","Bulldoze, Parabolic Charge, Thunderbolt"
0695,Heliolisk,Electric Normal,219,168,158,20%,10%,"Mud-Slap, Quick Attack, Volt Switch","Breaking Swipe, Bulldoze, Grass Knot, Parabolic Charge, Thunderbolt"
0696,Tyrunt,Rock Dragon,158,123,151,20%,10%,"Dragon Tail, Tackle","Ancient Power, Dragon Claw, Stomp"
0697,Tyrantrum,Rock Dragon,227,191,193,20%,10%,"Charm, Dragon Tail, Rock Throw","Crunch, Earthquake, Meteor Beam, Outrage, Stone Edge"
0698,Amaura,Rock Ice,124,109,184,20%,10%,"Frost Breath, Powder Snow","Ancient Power, Aurora Beam, Thunderbolt, Weather Ball - Ice"
0699,Aurorus,Rock Ice,186,163,265,20%,10%,"Frost Breath, Powder Snow, Rock Throw","Ancient Power, Blizzard, Hyper Beam, Meteor Beam, Thunderbolt, Weather Ball - Ice"
0700,Sylveon,Fairy,203,205,216,12.5%,6%,"Charm, Quick Attack","Dazzling Gleam, Draining Kiss, Moonblast, Last Resort (legacy), Psyshock (Community Day)"
0701,Hawlucha,Fighting Flying,195,153,186,20%,10%,"Low Kick, Poison Jab","Aerial Ace, Flying Press, Power-Up Punch, X-Scissor"
0702,Dedenne,Electric Fairy,164,134,167,20%,10%,"Tackle, Thunder Shock","Discharge, Play Rough"
0703,Carbink,Rock Fairy,95,285,137,20%,10%,"Rock Throw, Tackle","Moonblast, Power Gem, Rock Slide"
0704,Goomy,Dragon,101,112,128,40%,9%,"Tackle, Water Gun","Dragon Pulse, Muddy Water, Sludge Wave"
0705,Sliggoo,Dragon,159,176,169,10%,7%,"Tackle, Water Gun","Dragon Pulse, Muddy Water, Sludge Wave, Water Pulse"
0706,Goodra,Dragon,220,242,207,5%,5%,"Dragon Breath, Water Gun","Draco Meteor, Muddy Water, Power Whip, Sludge Wave"
0707,Klefki,Steel Fairy,160,179,149,20%,10%,"Astonish, Tackle","Draining Kiss, Flash Cannon, Foul Play, Play Rough"
0708,Phantump,Ghost Grass,125,103,125,30%,10%,"Astonish, Tackle","Foul Play, Seed Bomb, Shadow Ball"
0709,Trevenant,Ghost Grass,201,154,198,15%,5%,"Shadow Claw, Sucker Punch","Foul Play, Seed Bomb, Shadow Ball"
0710,Pumpkaboo Average Size,Ghost Grass,121,123,135,30%,10%,"Astonish, Razor Leaf","Foul Play, Grass Knot, Shadow Sneak"
0710,Pumpkaboo Small Size,Ghost Grass,122,124,127,30%,10%,"Astonish, Razor Leaf","Foul Play, Grass Knot, Shadow Sneak"
0710,Pumpkaboo Large Size,Ghost Grass,120,122,144,30%,10%,"Astonish, Razor Leaf","Foul Play, Grass Knot, Shadow Sneak"
0710,Pumpkaboo Super Size,Ghost Grass,118,120,153,30%,10%,"Astonish, Razor Leaf","Foul Play, Grass Knot, Shadow Sneak"
0711,Gourgeist Average Size,Ghost Grass,175,213,163,12.5%,6%,"Hex, Razor Leaf","Fire Blast, Foul Play, Poltergeist, Seed Bomb, Shadow Ball"
0711,Gourgeist Small Size,Ghost Grass,171,219,146,12.5%,6%,"Hex, Razor Leaf","Fire Blast, Foul Play, Poltergeist, Seed Bomb, Shadow Ball"
0711,Gourgeist Large Size,Ghost Grass,179,206,181,12.5%,6%,"Hex, Razor Leaf","Fire Blast, Foul Play, Poltergeist, Seed Bomb, Shadow Ball"
0711,Gourgeist Super Size,Ghost Grass,182,200,198,12.5%,6%,"Hex, Razor Leaf","Fire Blast, Foul Play, Poltergeist, Seed Bomb, Shadow Ball"
0712,Bergmite,Ice,117,120,146,20%,10%,"Bite, Tackle","Crunch, Icy Wind, Mirror Coat"
0713,Avalugg,Ice,196,240,216,20%,10%,"Bite, Ice Fang","Avalanche, Body Slam, Crunch, Earthquake, Mirror Coat"
0713,Avalugg Hisuian Avalugg,Ice Rock,214,238,216,20%,10%,"Bite, Powder Snow, Tackle","Blizzard, Crunch, Rock Slide"
0714,Noibat,Flying Dragon,83,73,120,40%,9%,"Bite, Wing Attack","Air Cutter, Dragon Pulse, Heat Wave"
0715,Noivern,Flying Dragon,205,175,198,15%,5%,"Air Slash, Bite","Draco Meteor, Heat Wave, Hurricane, Psychic, Boomburst (Community Day)"
0716,Xerneas,Fairy,250,185,246,2%,10%,"Tackle, Zen Headbutt, Geomancy (legacy)","Close Combat, Giga Impact, Megahorn, Moonblast, Thunder"
0717,Yveltal,Dark Flying,250,185,246,2%,10%,"Gust, Snarl, Sucker Punch","Dark Pulse, Focus Blast, Hurricane, Hyper Beam, Psychic, Oblivion Wing (legacy)"
0718,Zygarde 50% Forme,Dragon Ground,203,232,239,2%,10%,"Bite, Dragon Tail, Zen Headbutt","Bulldoze, Crunch, Earthquake, Hyper Beam, Outrage, Frustration (Shadow), Return (Purified)"
0718,Zygarde 10% Forme,Dragon Ground,205,173,144,10%,1%,"Bite, Dragon Tail, Zen Headbutt","Bulldoze, Crunch, Earthquake, Hyper Beam, Outrage, Frustration (Shadow), Return (Purified)"
0718,Zygarde Complete Forme,Dragon Ground,184,207,389,2%,1%,"Bite, Dragon Tail, Zen Headbutt","Bulldoze, Crunch, Earthquake, Hyper Beam, Outrage, Frustration (Shadow), Return (Purified)"
0719,Diancie,Rock Fairy,190,285,137,2%,10%,"Rock Throw, Tackle","Moonblast, Power Gem, Rock Slide"
0719,Diancie Mega Diancie,Rock Fairy,342,235,137,2%,1%,,
0720,Hoopa Hoopa Confined,Psychic Ghost,261,187,173,100%,0%,"Astonish, Confusion","Psybeam, Psychic, Shadow Ball"
0720,Hoopa Hoopa Unbound,Psychic Dark,311,191,173,6%,1%,"Astonish, Confusion","Dark Pulse, Psychic, Shadow Ball"
0722,Rowlet,Grass Flying,102,99,169,20%,10%,"Leafage, Magical Leaf, Razor Leaf, Tackle","Energy Ball, Seed Bomb"
0723,Dartrix,Grass Flying,142,139,186,10%,10%,"Leafage, Magical Leaf, Peck, Razor Leaf","Brave Bird, Energy Ball, Seed Bomb"
0724,Decidueye,Grass Ghost,210,179,186,5%,10%,"Astonish, Leafage, Magical Leaf, Razor Leaf","Brave Bird, Energy Ball, Shadow Sneak"
0725,Litten,Fire,128,79,128,20%,10%,"Ember, Scratch","Crunch, Flame Charge, Flamethrower"
0726,Torracat,Fire,174,103,163,10%,10%,"Bite, Ember","Crunch, Flame Charge, Flamethrower"
0727,Incineroar,Fire Dark,214,175,216,5%,10%,"Double Kick, Fire Fang, Snarl","Blaze Kick, Dark Pulse, Fire Blast, Flame Charge"
0728,Popplio,Water,120,103,137,20%,10%,"Pound, Water Gun","Aqua Jet, Aqua Tail, Water Pulse"
0729,Brionne,Water,168,145,155,10%,10%,"Charm, Water Gun","Aqua Jet, Disarming Voice, Water Pulse"
0730,Primarina,Water Fairy,232,195,190,5%,10%,"Charm, Waterfall","Disarming Voice, Hydro Pump, Moonblast, Psychic"
0731,Pikipek,Normal Flying,136,59,111,50%,20%,"Peck, Rock Smash","Aerial Ace, Drill Peck, Sky Attack"
0732,Trumbeak,Normal Flying,159,100,146,25%,9%,"Peck, Rock Smash","Drill Peck, Rock Blast, Sky Attack"
0733,Toucannon,Normal Flying,222,146,190,12.5%,5%,"Bullet Seed, Peck, Rock Smash","Drill Peck, Flash Cannon, Rock Blast"
0734,Yungoos,Normal,122,56,134,50%,10%,"Bite, Tackle","Crunch, Hyper Fang, Rock Tomb"
0735,Gumshoos,Normal,194,113,204,20%,10%,"Bite, Take Down","Crunch, Hyper Fang, Rock Tomb"
0736,Grubbin,Bug,115,85,132,50%,20%,"Bug Bite, Spark","Crunch, Vise Grip, X-Scissor"
0737,Charjabug,Bug Electric,145,161,149,25%,9%,"Bug Bite, Spark, Volt Switch (Community Day)","Crunch, Discharge, X-Scissor"
0738,Vikavolt,Bug Electric,254,158,184,12.5%,5%,"Bug Bite, Mud-Slap, Spark, Volt Switch (Community Day)","Crunch, Discharge, X-Scissor"
0739,Crabrawler,Fighting,150,104,132,20%,10%,"Bubble, Rock Smash","Crabhammer, Payback, Power-Up Punch"
0740,Crabominable,Fighting Ice,231,138,219,20%,10%,"Bubble, Rock Smash","Crabhammer, Ice Punch, Payback, Power-Up Punch"
0741,Oricorio Baile Style,Fire Flying,196,145,181,20%,7%,"Air Slash, Pound","Aerial Ace, Air Cutter, Hurricane"
